id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-1,2020-01-07,000001,Vente,8000,,,FORTUNAT,B063,01250,01072,Ceyzériat,01,,,01072000AK0216,,,,,,,,,,,,,0,,,,,T,terres,,,1061,5.32354,46.171919
2020-2,2020-01-02,000001,Vente,2175,,,TERRES DES CINQ SAULES,B124,01290,01203,Laiz,01,,,012030000B0004,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,85,4.893436,46.251868
2020-2,2020-01-02,000001,Vente,2175,,,BOIS DU CHAMP RION,B006,01290,01203,Laiz,01,,,012030000B0173,,,,,,,,,,,,,0,,,,,T,terres,,,1115,4.899919,46.235327
2020-2,2020-01-02,000001,Vente,2175,,,EN COROBERT,B025,01290,01203,Laiz,01,,,012030000B0477,,,,,,,,,,,,,0,,,,,T,terres,,,1940,4.882347,46.246519
2020-2,2020-01-02,000001,Vente,2175,,,TERRES DES CINQ SAULES,B124,01290,01203,Laiz,01,,,012030000C0068,,,,,,,,,,,,,0,,,,,T,terres,,,1148,4.894688,46.25182
2020-2,2020-01-02,000001,Vente,2175,,,TERRES DES CINQ SAULES,B124,01290,01203,Laiz,01,,,012030000C0069,,,,,,,,,,,,,0,,,,,T,terres,,,2960,4.894607,46.251943
2020-3,2020-01-07,000001,Vente,75000,,,RUE DE LA CHARTREUSE,0064,01960,01289,Péronnas,01,,,01289000AI0210,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,610,5.226198,46.184538
2020-4,2020-01-07,000001,Vente,123,,,CHAMP PORTIER,B041,01370,01426,Val-Revermont,01,,,01426000ZN0197,,,,,,,,,,,,,0,,,,,S,sols,,,55,5.344396,46.263943
2020-4,2020-01-07,000001,Vente,123,,,CHAMP PORTIER,B041,01370,01426,Val-Revermont,01,,,01426000ZN0201,,,,,,,,,,,,,0,,,,,S,sols,,,68,5.343884,46.2638
2020-5,2020-01-09,000001,Vente,72000,,,CHAMPEL,B034,01270,01108,Coligny,01,,,01108000AC0015,,,,,,,,,,,,,0,,,,,J,jardins,,,328,5.350565,46.380898
